new_index,expected_timeline,category_refined,expected_timeline_ko
912,"discussed with client. details mailed for onequick, they are not planning to buy the same for now hence closing in the system.",Uncategorized,"discussed with client. details mailed for onequick, they are not planning to buy the same for now hence closing in the system."
913,already shared quotation through si.,Uncategorized,already shared quotation through si.
914,quotation shared.,Uncategorized,quotation shared.
915,budget low hence client have not went ahead.,Uncategorized,budget low hence client have not went ahead.
947,rnr,Uncategorized,rnr
948,duplicate lead,Uncategorized,중복 리드
962,invalid lead,Uncategorized,invalid lead
966,demo scheduled for first week feb,less than 3 months,demo scheduled for first week feb
967,"the client budget is within 1 lacs they need 55 inch aio solution. as per discussion, they are comparing with jabra and we proposed to check if they need only displays. but due to budget contraint, they are dropping the idea.",Uncategorized,"the client budget is within 1 lacs they need 55 inch aio solution. as per discussion, they are comparing with jabra and we proposed to check if they need only displays. but due to budget contraint, they are dropping the idea."
985,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
992,"forwarded to bdo, being followed up",Uncategorized,추적 중
993,the partner is checking price for an ongoing case of barc. we have discussed on new case with the partner.its useful to take our discussion further for new inquries.closing the opportunity in system as of now as its made only for cross checking prices.,Uncategorized,the partner is checking price for an ongoing case of barc. we have discussed on new case with the partner.its useful to take our discussion further for new inquries.closing the opportunity in system as of now as its made only for cross checking prices.
1006,october 2022,Uncategorized,october 2022
1533,3_months_~_6_months,3 months ~ 6 months,3_months_~_6_months
1534,3_months_~_6_months,3 months ~ 6 months,3_months_~_6_months
1742,"spoke with custome he want 43"" tv",Uncategorized,"spoke with custome he want 43"" tv"
1760,"details shared with customer, he will update on further action after evaluating other brands as well.",Uncategorized,고객과 세부 사항 공유됨
1764,don’t have budget,Uncategorized,don’t have budget
1769,"spoke with customer, details needs to share on mail. also they want demo",Uncategorized,"spoke with customer, details needs to share on mail. also they want demo"
1773,"client shall get back for exploring demo of idb, post that they will decide on procuring the same.",Uncategorized,"client shall get back for exploring demo of idb, post that they will decide on procuring the same."
1785,details shared with partner. he has quoted in our existing customer only.,Uncategorized,details shared with partner. he has quoted in our existing customer only.
1814,already in discussion with partner from bangalore (kohinoor) and with mr. indraneel from corporate office,Uncategorized,already in discussion with partner from bangalore (kohinoor) and with mr. indraneel from corporate office
1868,details shared.,Uncategorized,details shared.
1869,reuired for office. asked to share quotation,Uncategorized,reuired for office. asked to share quotation
1870,require demo price send,Uncategorized,데모 요청
1871,size not available,Uncategorized,size not available
1872,eol model new model quote requirment after 30 days.,less than 3 months,eol model new model quote requirment after 30 days.
1876,need to discuss with client in next two months. they need to check the product and accridngly proceed for personal use.,Uncategorized,need to discuss with client in next two months. they need to check the product and accridngly proceed for personal use.
1895,"spoken to client, he will check if they need demo and confirm",Uncategorized,"spoken to client, he will check if they need demo and confirm"
1896,"discussed with the client, tr3bg & one quick works demo scheduled on 27th july 2022.post demo they will decide on procuring the unit.",Uncategorized,"discussed with the client, tr3bg & one quick works demo scheduled on 27th july 2022.post demo they will decide on procuring the unit."
1908,didn't respond to calls,Uncategorized,didn't respond to calls
1920,is an interior designer. working on turnkey projects. mr bhuvnesh is in contact and shared specs and prices.,Uncategorized,is an interior designer. working on turnkey projects. mr bhuvnesh is in contact and shared specs and prices.
1921,29thsep2021:-no such requirement as of now,Uncategorized,29thsep2021:-no such requirement as of now
1922,quotation shared in communication,Uncategorized,quotation shared in communication
1925,"he want demo in aurangabad, details shared with rd",Uncategorized,"he want demo in aurangabad, details shared with rd"
1935,purchase planning after 3 months,3 months ~ 6 months,purchase planning after 3 months
1949,"client was driving and asked to call back later, will folloup and keep posted.",less than 3 months,"client was driving and asked to call back later, will folloup and keep posted."
1958,09-02-2022 requested for boq of requirement,Uncategorized,09-02-2022 requested for boq of requirement
1959,converted this lead into opportunity.,Uncategorized,converted this lead into opportunity.
1963,discussed with client they need for csr activity. prices expectation is very much low.,Uncategorized,discussed with client they need for csr activity. prices expectation is very much low.
1968,demo scheduled for 24th oct,Uncategorized,demo scheduled for 24th oct
1970,"forwarded to bdo, being followed up",Uncategorized,추적 중
1977,details send require demo,Uncategorized,데모 요청
1978,"discussed with client. we need to align demo. the expectation is connecting apple devices but not mandatory. once demo is done, we shall update",Uncategorized,"discussed with client. we need to align demo. the expectation is connecting apple devices but not mandatory. once demo is done, we shall update"
1979,require demo,Uncategorized,데모 요청
2074,discussed with client. will plan for demo.,Uncategorized,discussed with client. will plan for demo.
2076,need to arrange quote and demo.,Uncategorized,need to arrange quote and demo.
2084,"client is looking for 86"" display with vc solution, they will go for demo next week and decide on procuring our tr3dj, details shared with client on mail.",less than 3 months,찾고 있음
2090,quote sent to customer.,Uncategorized,quote sent to customer.
2092,details shared.,Uncategorized,details shared.
2103,under discussion,Uncategorized,under discussion
2137,remarks : customer looking for 65 inches and 75 inches  each 1 qty,Uncategorized,찾고 있음
2139,meeting planned for further discussion,Uncategorized,meeting planned for further discussion
2168,"customer will come for demo in next week, than he will decide further",less than 3 months,"customer will come for demo in next week, than he will decide further"
2169,he want demo next week,less than 3 months,he want demo next week
2170,call and discused to custome customer wants demo.,Uncategorized,call and discused to custome customer wants demo.
2171,"demo planned, will update further status once its completed",Uncategorized,"demo planned, will update further status once its completed"
2172,"quote sent, the client is required demo in june",Uncategorized,"quote sent, the client is required demo in june"
2173,"quote shared with customer, lead shared with partner to take it further.",Uncategorized,고객에게 견적 공유됨
2177,will come for the demo,Uncategorized,will come for the demo
2178,customer has not answering call,Uncategorized,전화 응답 안 함
2179,"discussed with client, he shall send the details of their office requirement",Uncategorized,"discussed with client, he shall send the details of their office requirement"
2180,"tried calling the client, no response from client, i have mailed idb details, will keep follow up & update",Uncategorized,추적
2184,"client was busy, asked to call back later, interested in exploring our idb",less than 3 months,"client was busy, asked to call back later, interested in exploring our idb"
2216,quote send meeting pending,Uncategorized,quote send meeting pending
2217,quote send,Uncategorized,quote send
2223,"tried reaching out to client no response to callls so i have shared the datasheet, shalll folllllow up and update",Uncategorized,"tried reaching out to client no response to callls so i have shared the datasheet, shalll folllllow up and update"
2230,not interested,Uncategorized,관심 없음
2232,(select id_timeline),Uncategorized,(select id_timeline)
2244,"client is not responding calls, following up and keep the update tracked",less than 3 months,"client is not responding calls, following up and keep the update tracked"
2251,demo aligned for client,Uncategorized,데모 준비됨
2252,"demo completed, customer asked to come feb 10th for closure.",Uncategorized,"demo completed, customer asked to come feb 10th for closure."
2253,call and discused no requirement.,Uncategorized,요구 사항 없음
2254,demo done and details shared,Uncategorized,demo done and details shared
2275,quote send,Uncategorized,quote send
2276,call after 3 june,Uncategorized,call after 3 june
2277,quote send require demo.,Uncategorized,데모 요청
2278,call back later,Uncategorized,call back later
2279,"spoke with customer, will be sharing details on email.",Uncategorized,"spoke with customer, will be sharing details on email."
2280,quote send next month require,Uncategorized,quote send next month require
2281,quote send require demo in next week.,less than 3 months,데모 요청
2282,"client was keen to explore our idb sku, in follow up",Uncategorized,추적
2283,he want demo next month at pune - 15 may,more than a year,he want demo next month at pune - 15 may
2309,aggressive price required,Uncategorized,aggressive price required
2310,fu under progress.,Uncategorized,fu under progress.
2311,order taken,Uncategorized,order taken
2313,details shared.,Uncategorized,details shared.
2314,"discussed with client. demo aligned. once done, will update.",Uncategorized,데모 준비됨
2315,"proposal submitted , due to covid md is not comin to office for the meeting.",Uncategorized,"proposal submitted , due to covid md is not comin to office for the meeting."
2316,14th aug- aggressive price required as he has got price from outside delhi,Uncategorized,14th aug- aggressive price required as he has got price from outside delhi
2317,they are consultant and i am already in touch with customer.,Uncategorized,they are consultant and i am already in touch with customer.
2318,"less than 3 months ,meeting with the customer for the more details and tentative boq will ne 32 and 43",less than 3 months,3개월 미만
2319,he want physical demo of tr3bf in nashik. but there budget is also very low. so first he will discuss with management on budget then confirm back for demo,Uncategorized,he want physical demo of tr3bf in nashik. but there budget is also very low. so first he will discuss with management on budget then confirm back for demo
2320,demo done,Uncategorized,demo done
2323,get back in 1 wk,Uncategorized,get back in 1 wk
2324,detail shared with him on email. he is looking for one unit of 65 inch for his conference room,Uncategorized,찾고 있음
2325,already in touch with customer,Uncategorized,already in touch with customer
2326,mr rajnikant is allign with the client.,Uncategorized,mr rajnikant is allign with the client.
2353,spoke with her and shared the details for signage displays.,Uncategorized,spoke with her and shared the details for signage displays.
2358,"discussed with client, quote sent.",Uncategorized,"discussed with client, quote sent."
2359,"he is looking for an interactive display. discussed with client, will update as the case progress.",Uncategorized,찾고 있음
2360,we are already in touch with customer thru partner,Uncategorized,we are already in touch with customer thru partner
2370,"details shared on whatsapp, he'll revert back.",Uncategorized,"details shared on whatsapp, he'll revert back."
2375,customer has not answering call / quotation has been send to customer,Uncategorized,전화 응답 안 함
2383,"spoken to client, he will connect once he discuss on requirement",Uncategorized,"spoken to client, he will connect once he discuss on requirement"
2388,require quote,Uncategorized,require quote
2402,customer visit at uv business and see the demo within 2 to 3 days.,less than 3 months,customer visit at uv business and see the demo within 2 to 3 days.
2408,they are having requirement of 40 displays. customer need aggressive pricing than samsung.,Uncategorized,they are having requirement of 40 displays. customer need aggressive pricing than samsung.
2409,already in touch with customer from last 10 days. dropping it because we are already in touch,less than 3 months,already in touch with customer from last 10 days. dropping it because we are already in touch
2420,his budget is very low but we are trying to convince him for 65 inch,Uncategorized,his budget is very low but we are trying to convince him for 65 inch
2421,discussed with client.they are looking for aio solution with vc. they will call after 20th for the demo and then purchase through gem.,Uncategorized,찾고 있음
2424,discussed with the client. prices shared for onequick and idb on mail. customer to confirm about demo of the sku and finalise on procurement.,Uncategorized,discussed with the client. prices shared for onequick and idb on mail. customer to confirm about demo of the sku and finalise on procurement.
2428,discussed with the client. they are interersted in our tr3dj series demo planned for 29th june post they will plan on procurement. will keep update.,Uncategorized,discussed with the client. they are interersted in our tr3dj series demo planned for 29th june post they will plan on procurement. will keep update.
2430,discussed with the client. asked to call back on monday will keep a follow up.,less than 3 months,추적
2444,"bodeli, requirement pending new quote send close in this month end.",Uncategorized,"bodeli, requirement pending new quote send close in this month end."
2445,3 months,3 months ~ 6 months,3 months
2446,received po.,Uncategorized,received po.
2451,"customer not answering call, will call him again and update",Uncategorized,전화 응답 안 함
2461,september,Uncategorized,september
2462,december 2022,Uncategorized,december 2022
2463,october 2022,Uncategorized,october 2022
2464,december 2022,Uncategorized,december 2022
2465,november 2022,Uncategorized,november 2022
2862,"no contact number, i have dropped a email requesting for the same.",Uncategorized,"no contact number, i have dropped a email requesting for the same."
2863,no further revert & clarity after sharing details.,Uncategorized,no further revert & clarity after sharing details.
3537,didn't respond,Uncategorized,didn't respond
3538,fu under progress,Uncategorized,fu under progress
3541,he client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,he client is not having any requirement hence closig in system. although the details of idb are mailed to client.
3627,rnr,Uncategorized,rnr
3628,he is looking for display for his restaurant. he has asked to contact him after 1 month as restaurant work is under progress,less than 3 months,찾고 있음
3634,fu under progress.,Uncategorized,fu under progress.
3635,details shared,Uncategorized,details shared
3636,his budget is very low.,Uncategorized,his budget is very low.
3637,couldn't connect,Uncategorized,couldn't connect
4006,not answering call | as on 11th june- customer phone is not reachable. i am dropping this lead and forwarding to partner.,Uncategorized,연락 불가
4032,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
4043,looking for active led in a range of 5 lakhs . not a prospetive buyer,Uncategorized,찾고 있음
4049,"our partner, vis networks is working on this inquiry and client is cross-checking the prices. hence closing in the system.",Uncategorized,"our partner, vis networks is working on this inquiry and client is cross-checking the prices. hence closing in the system."
4050,discussed with client. details mailed to client. no budgets for now wont buy hence closing in the system,Uncategorized,discussed with client. details mailed to client. no budgets for now wont buy hence closing in the system
4221,"the client is not having any requirement, he was only browsing through the produt hence closig in system. although the details of idb are mailed to client.",Uncategorized,"the client is not having any requirement, he was only browsing through the produt hence closig in system. although the details of idb are mailed to client."
4222,"the client is not having any requirement, he was only browsing through the produt hence closig in system. although the details of idb are mailed to client.",Uncategorized,"the client is not having any requirement, he was only browsing through the produt hence closig in system. although the details of idb are mailed to client."
4223,not interested,Uncategorized,관심 없음
4224,call back later,Uncategorized,call back later
4225,not reachable,Uncategorized,연락 불가
4226,"not reachable , lead shared with partner",Uncategorized,연락 불가
4227,no requirement of this time,Uncategorized,요구 사항 없음
4228,no requirement,Uncategorized,요구 사항 없음
4229,no requirement,Uncategorized,요구 사항 없음
4230,no requirement,Uncategorized,요구 사항 없음
4231,cms reqired,Uncategorized,cms reqired
4232,not required,Uncategorized,필요 없음
4233,not required,Uncategorized,필요 없음
4234,"not answering call, will try to reach him again.",Uncategorized,전화 응답 안 함
4235,looking for air conditioners,Uncategorized,찾고 있음
4236,no reqirements,Uncategorized,no reqirements
4237,withdrawn the decission to purchase,Uncategorized,withdrawn the decission to purchase
4238,asked to call next week,less than 3 months,다음 주에 전화 요청함
4271,asked to call on 4th may,less than 3 months,asked to call on 4th may
4332,"discussed with client. they are not evaluatuating idb as of now, they have no plans to buy hence closing in the system.",Uncategorized,"discussed with client. they are not evaluatuating idb as of now, they have no plans to buy hence closing in the system."
4413,less than 3 months- outdoor led requiment,less than 3 months,3개월 미만
4416,"forwarded to bdo, being followed up",Uncategorized,추적 중
4417,looking for outdoor display. cusotmer has no clarity on the solution. email shared for understanding and waiting for reply,Uncategorized,찾고 있음
4637,customer ask to call back tomorrow,Uncategorized,customer ask to call back tomorrow
4638,details shared with customer on mai,Uncategorized,고객과 세부 사항 공유됨
4639,details shared with customer on mail,Uncategorized,고객과 세부 사항 공유됨
4675,not interested,Uncategorized,관심 없음
4676,call back later,Uncategorized,call back later
4677,no requirement,Uncategorized,요구 사항 없음
4678,"not lifted, call later",Uncategorized,"not lifted, call later"
4679,asked to send details,Uncategorized,asked to send details
4680,"the client is not having any requirement, she was only browsing through the produt hence closig in system. although the details of idb are mailed to client.",Uncategorized,"the client is not having any requirement, she was only browsing through the produt hence closig in system. although the details of idb are mailed to client."
4681,"not answering call, details shared with rd",Uncategorized,전화 응답 안 함
4698,purchased from binary @ 1.23l,Uncategorized,purchased from binary @ 1.23l
4699,"details shared for 75tr, followup in first week of oct",less than 3 months,"details shared for 75tr, followup in first week of oct"
4700,details shared fu under progress,Uncategorized,details shared fu under progress
4701,customer is looking for residential 43 inch display for home use,Uncategorized,찾고 있음
4702,meeting planned nextweek.,less than 3 months,meeting planned nextweek.
4703,dropped. contact no not valid,Uncategorized,dropped. contact no not valid
4704,client not anwering calls and asked there is no requirement. he was trying to check prices for one 65 touch requirement of existing client.,Uncategorized,요구 사항 없음
4706,"needs hotel tv after 4 months, will call us.",3 months ~ 6 months,"needs hotel tv after 4 months, will call us."
4733,dont have any immediate requirement. he may purchase after june,Uncategorized,dont have any immediate requirement. he may purchase after june
4734,treid many times but phone not reachable,Uncategorized,연락 불가
4735,not answering call,Uncategorized,전화 응답 안 함
4736,require 65 inch idb under 80k,Uncategorized,require 65 inch idb under 80k
4737,"not responding, details shared with local rd",Uncategorized,"not responding, details shared with local rd"
4738,couldn't conect,Uncategorized,couldn't conect
4782,he just need budgetory pricing. we have shared the details with him and requested him to come for demo,Uncategorized,he just need budgetory pricing. we have shared the details with him and requested him to come for demo
4964,need to call on friday 27th,less than 3 months,need to call on friday 27th
5030,busy. need to call back,Uncategorized,busy. need to call back
5319,"discussed with client. they have no budgets for purchase for now, they wont buy hence closing in the system.",Uncategorized,"discussed with client. they have no budgets for purchase for now, they wont buy hence closing in the system."
5374,already in touch with there team,Uncategorized,already in touch with there team
5499,details shared,Uncategorized,details shared
5500,details shared with concern person. will ask bdo to follow up,Uncategorized,추적
5501,drop not willing to buy now.. will do in future.. details shared on whatsap,Uncategorized,drop not willing to buy now.. will do in future.. details shared on whatsap
5684,"due to financial reasons, client have dropped purchase plan. although the details of idb are mailed to client.",Uncategorized,"due to financial reasons, client have dropped purchase plan. although the details of idb are mailed to client."
6251,9_months_~_1_year,9 months ~ 1 year,9_months_~_1_year
6253,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
6254,no requirement,Uncategorized,요구 사항 없음
6255,lead belongs to maharashtra,Uncategorized,lead belongs to maharashtra
6256,client is not looking now and he was interested with only inbuilt ops option. hence closing in system as he is not responding to calls.,Uncategorized,client is not looking now and he was interested with only inbuilt ops option. hence closing in system as he is not responding to calls.
6259,"requirement of 65tr3dj –  demo reqired, lead shared with rd",Uncategorized,"requirement of 65tr3dj –  demo reqired, lead shared with rd"
6260,requirement of 75tr3dj –  demo required,Uncategorized,requirement of 75tr3dj –  demo required
6261,same as lead no  il220300046498 hence dropping. duplicate lead.,Uncategorized,중복 리드
6476,9_months_~_1_year,9 months ~ 1 year,9_months_~_1_year
6479,details send,Uncategorized,details send
6517,3_months_~_6_months,3 months ~ 6 months,3_months_~_6_months
6633,"not reachable , details shared with rd",Uncategorized,연락 불가
6634,"due to budget issue, customer has bought maxhub panel.",Uncategorized,예산 문제
6635,next week he will come for demo at lg office,less than 3 months,next week he will come for demo at lg office
6636,9_months_~_1_year,9 months ~ 1 year,9_months_~_1_year
6884,his budget is under 50k only,Uncategorized,his budget is under 50k only
7382,3_months_~_6_months,3 months ~ 6 months,3_months_~_6_months
7390,not lifted,Uncategorized,not lifted
7391,he will call back if needed,Uncategorized,he will call back if needed
7392,its bihar customer,Uncategorized,its bihar customer
7393,"requirement of 65tr3dj and customer want demo, details shared with rd",Uncategorized,"requirement of 65tr3dj and customer want demo, details shared with rd"
7394,couldn't connect,Uncategorized,couldn't connect
7395,connected with partner for studio setup with camera,Uncategorized,connected with partner for studio setup with camera
7396,quote shared but there budget is very low,Uncategorized,quote shared but there budget is very low
7397,call back again on 30/04,Uncategorized,call back again on 30/04
7398,"tried to reach him multiple times, but couldn't get thru.",Uncategorized,"tried to reach him multiple times, but couldn't get thru."
7399,6_months_~_9_months,Uncategorized,6_months_~_9_months
7406,"he want demo in sangli, i have looped with local partner.",Uncategorized,"he want demo in sangli, i have looped with local partner."
7467,no requirement,Uncategorized,요구 사항 없음
7733,details shared,Uncategorized,details shared
7734,"not answering call, shared lead with rd",Uncategorized,전화 응답 안 함
7735,drop no plan for purchase,Uncategorized,drop no plan for purchase
7736,"not answering call, lead shared with rd",Uncategorized,전화 응답 안 함
7737,9_months_~_1_year,9 months ~ 1 year,9_months_~_1_year
7825,"not answering call, lead shared with rd",Uncategorized,전화 응답 안 함
7826,budget issue.,Uncategorized,예산 문제
7870,"not answering call, lead shared with rd",Uncategorized,전화 응답 안 함
7871,details send,Uncategorized,details send
7997,customer need shortthrow projector,Uncategorized,customer need shortthrow projector
7998,duplicate lead,Uncategorized,중복 리드
7999,rajnikant is working in this case ho in ahmedabad and its under process.,Uncategorized,rajnikant is working in this case ho in ahmedabad and its under process.
8045,"the client is not having any requirement, he was only browsing through the produt hence closig in system. although the details of idb are mailed to client.",Uncategorized,"the client is not having any requirement, he was only browsing through the produt hence closig in system. although the details of idb are mailed to client."
8046,quotation shared with customer,Uncategorized,quotation shared with customer
8048,connect with partner,Uncategorized,connect with partner
8057,3_months_~_6_months,3 months ~ 6 months,3_months_~_6_months
8219,didn't respond,Uncategorized,didn't respond
8251,"not reachable, i had shared lead with partner",Uncategorized,연락 불가
8266,requirement of 65tr3dj –  demo required,Uncategorized,requirement of 65tr3dj –  demo required
8269,3_months_~_6_months,3 months ~ 6 months,3_months_~_6_months
8295,9_months_~_1_year,9 months ~ 1 year,9_months_~_1_year
8331,asked to call later.,less than 3 months,asked to call later.
8361,"no drop this lead, no budget!",Uncategorized,"no drop this lead, no budget!"
8424,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
8425,no response.,Uncategorized,no response.
8426,"discussed with client, details mailed they are not planning to purchase for now hence closing in the system.",Uncategorized,"discussed with client, details mailed they are not planning to purchase for now hence closing in the system."
8427,finance and accounting consultant. inquired foe 43 inch aio but dont have plans to buy. details discussed.,Uncategorized,finance and accounting consultant. inquired foe 43 inch aio but dont have plans to buy. details discussed.
8428,idb detais send,Uncategorized,idb detais send
8429,not responding tried many times,Uncategorized,not responding tried many times
8444,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
8445,update- call to be made on tuesday,less than 3 months,update- call to be made on tuesday
8446,discussion to be done with customer,Uncategorized,discussion to be done with customer
8447,update- 4th aug- customer asked to call on monday,less than 3 months,update- 4th aug- customer asked to call on monday
8448,known partner and already working on a case. only cross checking prices hence dropping.,Uncategorized,known partner and already working on a case. only cross checking prices hence dropping.
8449,dropped.. have purchased cloudwalker,Uncategorized,dropped.. have purchased cloudwalker
8886,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
8887,couldnt connect,Uncategorized,couldnt connect
8888,"quotation sent – 75tr3dj , work in progress, he will buy after 2 months. he has not even seen the quote yet.",less than 3 months,"quotation sent – 75tr3dj , work in progress, he will buy after 2 months. he has not even seen the quote yet."
8889,"requirement of 75tr3dj –  demo, details shared with rd",Uncategorized,"requirement of 75tr3dj –  demo, details shared with rd"
8890,"drop, still no plan for purchase",Uncategorized,"drop, still no plan for purchase"
8891,"requirement of idb, budget is very low. shared details on whatsapp. 1 unit required. rd is following up.",less than 3 months,"requirement of idb, budget is very low. shared details on whatsapp. 1 unit required. rd is following up."
8892,not interested in commercial tv.s,Uncategorized,관심 없음
8893,"he asked to share budgetory quote, he will check and confirm if he will require the product.",Uncategorized,"he asked to share budgetory quote, he will check and confirm if he will require the product."
8894,customer phone is gets switched off,Uncategorized,customer phone is gets switched off
8915,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
8916,he client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,he client is not having any requirement hence closig in system. although the details of idb are mailed to client.
8954,"already our customer, have shared prices for new requirement",Uncategorized,"already our customer, have shared prices for new requirement"
8955,known partner and we have installed 3 video walls pan india for cctv. we supplied 49vl5b at rs. 62000 and then again 49vl5f at rs. 71000.now the available model is 49vl5g at 80000 + which partner is rechecking and hence made inquiry.closing the inquiry si,Uncategorized,known partner and we have installed 3 video walls pan india for cctv. we supplied 49vl5b at rs. 62000 and then again 49vl5f at rs. 71000.now the available model is 49vl5g at 80000 + which partner is rechecking and hence made inquiry.closing the inquiry si
8956,purchase vu brand,Uncategorized,purchase vu brand
8969,custome purchase  consumer product,Uncategorized,custome purchase  consumer product
8970,delhi enquirey,Uncategorized,delhi enquirey
8971,"client have seen the demo. he needed for bigger room and the camera quality and speaker tracking were the main required feature. as of now, his budget is around 2 lacs and need bigger size solution. there is no response from client post demo hence closing",Uncategorized,"client have seen the demo. he needed for bigger room and the camera quality and speaker tracking were the main required feature. as of now, his budget is around 2 lacs and need bigger size solution. there is no response from client post demo hence closing"
9123,budget problem.,Uncategorized,budget problem.
9124,"customer has not answering call / customer want 86"" interactive display, he will purchase within next 6 month, we are forwarding to local rd to take this further",6 months ~ 9 months,전화 응답 안 함
9137,3_months_~_6_months,3 months ~ 6 months,3_months_~_6_months
9147,"spoke with customer, he is looking for dot led product in 42 inch, i have suggested him our 43 inch signage but he want fully outdoor led. i have shared the details of our 43 inch display",Uncategorized,찾고 있음
9154,customer purchase benq for price differance,Uncategorized,customer purchase benq for price differance
9158,customer want product t 15000,Uncategorized,customer want product t 15000
9159,mobile is switched off. tried 3 times,Uncategorized,mobile is switched off. tried 3 times
9195,not reachable,Uncategorized,연락 불가
9274,not answering call,Uncategorized,전화 응답 안 함
9294,quote send,Uncategorized,quote send
9295,he want 98 inch in below 2 lacs,Uncategorized,he want 98 inch in below 2 lacs
9296,duplicate lead,Uncategorized,중복 리드
9297,phone swtiched off,Uncategorized,phone swtiched off
9303,"dropped, requires device like one quick share to be used with samsung tv",Uncategorized,"dropped, requires device like one quick share to be used with samsung tv"
9523,couldn't connect,Uncategorized,couldn't connect
9524,"drop, budget problem now phone not respondig",Uncategorized,"drop, budget problem now phone not respondig"
9577,he want 65 inch at 50k,Uncategorized,he want 65 inch at 50k
9898,customer will be coming for demo on 28th may. customer did not came for demo. i have shared details with rd to take it further. hence dropping this lead,Uncategorized,customer will be coming for demo on 28th may. customer did not came for demo. i have shared details with rd to take it further. hence dropping this lead
9899,"custome has not receive call. as on 31st may- spoke with customer, he will come for demo in next week.14-06-2022",less than 3 months,"custome has not receive call. as on 31st may- spoke with customer, he will come for demo in next week.14-06-2022"
9900,"quote shared with customer, he will confirm after 2 months. lead shared with partner.",less than 3 months,고객에게 견적 공유됨
